Percent_complete_for_all_immunizations,County
96.7,BENTON
87.5,CLARK
81,CLARK
94.8,KING
93.7,SNOHOMISH
86.6,KING
95.7,KING
95.7,KING
95.7,KING
73.6,CLARK
89.1,SNOHOMISH
94.6,PIERCE
,ASOTIN
55.1,CLARK
98.7,PIERCE
90.9,CLARK
87.3,CLALLAM
90.3,PIERCE
95.7,SNOHOMISH
86.7,KING
88.3,PIERCE
59.9,CLARK
90.9,SNOHOMISH
97.8,ADAMS
93.8,KITSAP
90,SNOHOMISH
77.4,SNOHOMISH
86.5,SNOHOMISH
,ASOTIN
92.1,SNOHOMISH
86.5,YAKIMA
69,YAKIMA
76.3,KING
92.7,KING
92.1,KING
96.4,KING
95,OKANOGAN
96.1,BENTON
95,KING
96.5,KITSAP
,SNOHOMISH
95.9,ISLAND
92,SNOHOMISH
69.1,KING
97.4,PIERCE
97.4,KING
92.6,SNOHOMISH
97.8,KING
91.6,YAKIMA
94.8,GRANT
77.3,CLARK
82.6,CLARK
83.3,CLARK
73.9,KING
88.1,STEVENS
80,CHELAN
87.3,KING
93.7,SPOKANE
94,KING
,KING
90.5,THURSTON
85.2,ASOTIN
97,KING
93.8,KING
97.6,KING
91.3,KING
96.1,SNOHOMISH
91,KING
96.2,KING
55.1,MASON
97.8,YAKIMA
100,KING
,KING
88.5,GRAYS HARBOR
48.3,GRAYS HARBOR
97.7,SNOHOMISH
86.8,KING
92.6,WHATCOM
84.4,SPOKANE
100,KING
87.6,THURSTON
94.2,BENTON
60.5,CLARK
80.7,CLARK
98.1,BENTON
90.6,PIERCE
94.5,CLARK
87.3,PIERCE
86.6,KLICKITAT
94.7,COWLITZ
92,SPOKANE
84.4,KITSAP
92.9,CHELAN
96.2,PIERCE
93.4,KING
78.6,CLARK
82.1,KING
94.5,PACIFIC
72.4,CLARK
100,PIERCE
90.2,SKAGIT
97.7,SNOHOMISH
91.3,FERRY
93.7,FERRY
77.1,FERRY
31.7,SNOHOMISH
94.9,SPOKANE
95.4,KING
95.1,KING
79.6,KING
0.2,CLALLAM
74.3,KING
89.8,KING
84.3,KING
89.9,KING
93.8,SNOHOMISH
43.1,CLARK
88.7,WHATCOM
66.2,ISLAND
92.6,KING
85.7,SKAGIT
93.1,KING
87.4,WHATCOM
96.8,KING
95.1,KING
94.4,KING
88.6,SPOKANE
94.3,GRAYS HARBOR
90.9,SNOHOMISH
96.5,KITSAP
97.6,FRANKLIN
99.8,PIERCE
80.6,KING
68,KING
95,BENTON
92.5,PIERCE
90.3,CLARK
52.9,JEFFERSON
90.5,CLALLAM
95.5,BENTON
95.3,SKAGIT
89.5,SPOKANE
99.6,FRANKLIN
88.8,SNOHOMISH
88,WHITMAN
89.2,PIERCE
94.3,LEWIS
60.5,THURSTON
92.6,CLARK
87.8,CLARK
82.5,KING
81.8,STEVENS
95.6,KING
93,KING
77.8,YAKIMA
84.2,KING
84.1,KING
89.1,KING
96.1,CHELAN
86.5,KING
79.2,WALLA WALLA
92.2,KITSAP
85,KING
58.5,STEVENS
60.6,COWLITZ
0,GRAYS HARBOR
94.1,SNOHOMISH
86.1,KING
91.5,KING
83.1,THURSTON
82.2,WAHKIAKUM
84.6,KITTITAS
80.7,KING
85.1,FRANKLIN
,COWLITZ
92.8,COWLITZ
94.3,PIERCE
95.6,SNOHOMISH
96.5,BENTON
79.3,KING
93.5,PIERCE
93.7,PIERCE
98.5,BENTON
91.5,KING
96.6,FERRY
93.2,SNOHOMISH
91.8,KING
97.2,COWLITZ
,COWLITZ
75,WHATCOM
85.1,KING
93.6,KING
97.2,BENTON
92.9,KING
98.3,DOUGLAS
88.2,KING
77,KING
95.4,KING
89.5,SNOHOMISH
95.4,KING
95,KING
96.2,KING
95.4,KING
96.8,COWLITZ
86.8,STEVENS
88.3,STEVENS
82.5,STEVENS
85.9,PIERCE
89.4,KING
87.8,KING
67.8,KING
92.6,CLARK
74.5,FRANKLIN
92.9,KITSAP
93,KITSAP
,BENTON
,BENTON
,BENTON
90.4,KING
96,KING
72,KING
,KING
96,YAKIMA
100,KITSAP
90.6,KITSAP
85.8,KITTITAS
78.6,KITTITAS
96,KITSAP
,KLICKITAT
92.7,GRANT
,KING
89.9,KING
85.7,THURSTON
92.9,PIERCE
85.8,WHATCOM
,KING
78.4,THURSTON
87.7,CLARK
95.6,CLARK
75.4,CLARK
0,SKAGIT
88.9,SKAGIT
0,SKAGIT
47.5,YAKIMA
93.2,SKAGIT
89.3,CLARK
88.7,THURSTON
82.1,THURSTON
88.9,WHITMAN
84.6,WHITMAN
88.9,KING
89.4,KING
92.3,KING
,KING
97,KING
89.6,KING
94.3,PIERCE
91.1,GRAYS HARBOR
